Country;Indicator;Value
Australia;Life satisfaction;7.1
Austria;Life satisfaction;7.2
Belgium;Life satisfaction;6.8
Canada;Life satisfaction;7
Czech Republic;Life satisfaction;6.9
Denmark;Life satisfaction;7.5
Finland;Life satisfaction;7.9
France;Life satisfaction;6.7
Germany;Life satisfaction;7.3
Greece;Life satisfaction;5.8
Hungary;Life satisfaction;6
Iceland;Life satisfaction;7.6
Ireland;Life satisfaction;7
Italy;Life satisfaction;6.5
Japan;Life satisfaction;6.1
Korea;Life satisfaction;5.8
Luxembourg;Life satisfaction;7.4
Mexico;Life satisfaction;6
Netherlands;Life satisfaction;7.5
New Zealand;Life satisfaction;7.3
Norway;Life satisfaction;7.3
Poland;Life satisfaction;6.1
Portugal;Life satisfaction;5.8
Slovak Republic;Life satisfaction;6.5
Spain;Life satisfaction;6.5
Sweden;Life satisfaction;7.3
Switzerland;Life satisfaction;7.5
Turkey;Life satisfaction;4.9
United Kingdom;Life satisfaction;6.8
United States;Life satisfaction;7
Brazil;Life satisfaction;6.1
Chile;Life satisfaction;6.2
Estonia;Life satisfaction;6.5
Israel;Life satisfaction;7.2
Latvia;Life satisfaction;6.2
Russia;Life satisfaction;5.5
Slovenia;Life satisfaction;6.5
South Africa;Life satisfaction;4.9
